MDC de [3, 60] - Previsto: (2, 2.4951868) - Real: 3
MDC de [38, 76] - Previsto: (2, 2.0440845) - Real: 38
MDC de [39, 42] - Previsto: (2, 2.4830449) - Real: 3
MDC de [39, 43] - Previsto: (2, 1.8072443) - Real: 1
MDC de [39, 70] - Previsto: (3, 3.2922084) - Real: 1
MDC de [39, 87] - Previsto: (4, 3.7356963) - Real: 3
MDC de [40, 4] - Previsto: (5, 5.010354) - Real: 4
MDC de [40, 12] - Previsto: (5, 5.262645) - Real: 4
MDC de [40, 20] - Previsto: (37, 37.20476) - Real: 20
MDC de [40, 35] - Previsto: (3, 2.887103) - Real: 5
MDC de [40, 70] - Previsto: (8, 7.864355) - Real: 10
MDC de [40, 95] - Previsto: (3, 3.3242557) - Real: 5
MDC de [42, 6] - Previsto: (5, 5.2480946) - Real: 6
MDC de [42, 66] - Previsto: (5, 5.452012) - Real: 6
MDC de [42, 78] - Previsto: (8, 8.464851) - Real: 6
MDC de [42, 96] - Previsto: (5, 5.371889) - Real: 6
MDC de [42, 98] - Previsto: (13, 12.893585) - Real: 14
MDC de [44, 10] - Previsto: (4, 3.7660444) - Real: 2
MDC de [44, 11] - Previsto: (10, 10.083775) - Real: 11
MDC de [44, 18] - Previsto: (3, 3.313268) - Real: 2
MDC de [44, 42] - Previsto: (3, 2.5906684) - Real: 2
MDC de [44, 78] - Previsto: (3, 2.8759232) - Real: 2
MDC de [44, 92] - Previsto: (3, 3.0497406) - Real: 4
MDC de [44, 99] - Previsto: (41, 41.29586) - Real: 11
MDC de [45, 27] - Previsto: (8, 8.3230095) - Real: 9
MDC de [45, 30] - Previsto: (13, 13.264101) - Real: 15
MDC de [45, 54] - Previsto: (6, 5.5991096) - Real: 9
MDC de [45, 60] - Previsto: (9, 9.093244) - Real: 15
MDC de [45, 75] - Previsto: (10, 10.1419325) - Real: 15
MDC de [45, 93] - Previsto: (2, 2.4877267) - Real: 3
MDC de [46, 19] - Previsto: (-1, -0.5235044) - Real: 1
MDC de [46, 23] - Previsto: (15, 15.35968) - Real: 23
MDC de [46, 38] - Previsto: (1, 0.9163711) - Real: 2
MDC de [46, 46] - Previsto: (23, 23.034433) - Real: 46
MDC de [46, 57] - Previsto: (11, 11.251861) - Real: 1
MDC de [47, 41] - Previsto: (27, 26.737677) - Real: 1
MDC de [47, 71] - Previsto: (-1, -0.80932295) - Real: 1
MDC de [48, 48] - Previsto: (34, 34.3067) - Real: 48
MDC de [48, 64] - Previsto: (11, 11.30943) - Real: 16
MDC de [48, 99] - Previsto: (5, 4.7138004) - Real: 3
MDC de [49, 35] - Previsto: (2, 1.7914419) - Real: 7
MDC de [49, 91] - Previsto: (6, 5.7637596) - Real: 7
MDC de [50, 30] - Previsto: (5, 4.883927) - Real: 10
MDC de [50, 40] - Previsto: (7, 7.4674015) - Real: 10
MDC de [50, 95] - Previsto: (4, 3.509634) - Real: 5
MDC de [51, 35] - Previsto: (2, 2.2962978) - Real: 1
MDC de [51, 51] - Previsto: (15, 15.160184) - Real: 51
MDC de [51, 70] - Previsto: (2, 1.6825062) - Real: 1
MDC de [51, 85] - Previsto: (6, 5.978939) - Real: 17
MDC de [52, 34] - Previsto: (25, 24.656702) - Real: 2
MDC de [52, 44] - Previsto: (3, 3.0129762) - Real: 4
MDC de [52, 52] - Previsto: (27, 26.52379) - Real: 52
MDC de [52, 64] - Previsto: (3, 3.4016235) - Real: 4
MDC de [52, 66] - Previsto: (1, 0.99981546) - Real: 2
MDC de [52, 70] - Previsto: (8, 7.953397) - Real: 2
MDC de [52, 88] - Previsto: (3, 2.8175898) - Real: 4
MDC de [54, 6] - Previsto: (5, 4.618357) - Real: 6
MDC de [54, 35] - Previsto: (2, 1.6452765) - Real: 1
MDC de [54, 36] - Previsto: (14, 14.193109) - Real: 18
MDC de [54, 56] - Previsto: (1, 1.3827838) - Real: 2
MDC de [54, 70] - Previsto: (3, 2.7421658) - Real: 2
MDC de [54, 78] - Previsto: (5, 4.837313) - Real: 6
MDC de [54, 85] - Previsto: (2, 1.6126592) - Real: 1
MDC de [55, 10] - Previsto: (4, 4.351492) - Real: 5
MDC de [55, 18] - Previsto: (2, 1.5181769) - Real: 1
MDC de [55, 20] - Previsto: (4, 3.808628) - Real: 5
MDC de [55, 25] - Previsto: (6, 6.0727882) - Real: 5
MDC de [55, 44] - Previsto: (10, 10.221014) - Real: 11
MDC de [55, 65] - Previsto: (3, 3.4390614) - Real: 5
MDC de [55, 99] - Previsto: (9, 8.703578) - Real: 11
MDC de [56, 4] - Previsto: (5, 5.0027323) - Real: 4
MDC de [56, 34] - Previsto: (1, 1.3457187) - Real: 2
MDC de [56, 40] - Previsto: (9, 9.144874) - Real: 8
MDC de [56, 44] - Previsto: (6, 6.084116) - Real: 4
MDC de [56, 48] - Previsto: (4, 4.0528183) - Real: 8
MDC de [56, 66] - Previsto: (5, 4.987911) - Real: 2
MDC de [56, 76] - Previsto: (6, 5.5684433) - Real: 4
MDC de [56, 84] - Previsto: (29, 28.768486) - Real: 28
MDC de [56, 96] - Previsto: (6, 5.9900217) - Real: 8
MDC de [56, 100] - Previsto: (5, 4.741209) - Real: 4
MDC de [57, 19] - Previsto: (15, 14.894955) - Real: 19
MDC de [57, 38] - Previsto: (18, 18.321522) - Real: 19
MDC de [57, 76] - Previsto: (1, 1.0832175) - Real: 19
MDC de [57, 88] - Previsto: (2, 1.872627) - Real: 1
MDC de [57, 90] - Previsto: (1, 1.0585374) - Real: 3
MDC de [58, 47] - Previsto: (30, 30.21106) - Real: 1
MDC de [58, 87] - Previsto: (1, 0.99787176) - Real: 29
MDC de [60, 16] - Previsto: (7, 6.7227736) - Real: 4
MDC de [60, 50] - Previsto: (6, 5.5994205) - Real: 10
MDC de [60, 54] - Previsto: (9, 8.6397) - Real: 6
MDC de [60, 80] - Previsto: (16, 15.781753) - Real: 20
MDC de [60, 92] - Previsto: (3, 2.8230288) - Real: 4
MDC de [60, 99] - Previsto: (8, 8.096473) - Real: 3
MDC de [60, 100] - Previsto: (10, 10.1663265) - Real: 20
MDC de [62, 92] - Previsto: (0, -0.34282327) - Real: 2
MDC de [63, 6] - Previsto: (4, 3.980181) - Real: 3
MDC de [63, 13] - Previsto: (11, 11.474529) - Real: 1
MDC de [63, 14] - Previsto: (8, 8.267989) - Real: 7
MDC de [63, 22] - Previsto: (2, 1.659805) - Real: 1
MDC de [63, 70] - Previsto: (10, 10.202993) - Real: 7
MDC de [63, 91] - Previsto: (9, 9.432843) - Real: 7
MDC de [63, 98] - Previsto: (9, 8.597585) - Real: 7
MDC de [64, 3] - Previsto: (2, 1.575006) - Real: 1
MDC de [64, 8] - Previsto: (9, 8.990187) - Real: 8
MDC de [64, 10] - Previsto: (3, 2.8205914) - Real: 2
MDC de [64, 16] - Previsto: (26, 26.393053) - Real: 16
MDC de [64, 32] - Previsto: (25, 25.48205) - Real: 32
MDC de [64, 56] - Previsto: (6, 6.492214) - Real: 8
MDC de [64, 60] - Previsto: (8, 8.3692875) - Real: 4
MDC de [64, 72] - Previsto: (7, 6.6803637) - Real: 8
MDC de [64, 84] - Previsto: (3, 3.3576322) - Real: 4
MDC de [64, 88] - Previsto: (5, 5.296273) - Real: 8
MDC de [64, 90] - Previsto: (9, 9.062371) - Real: 2
MDC de [64, 95] - Previsto: (4, 3.9256618) - Real: 1
MDC de [65, 13] - Previsto: (9, 8.661594) - Real: 13
MDC de [65, 15] - Previsto: (4, 4.113387) - Real: 5
MDC de [65, 55] - Previsto: (1, 1.3801031) - Real: 5
MDC de [65, 72] - Previsto: (2, 1.9286073) - Real: 1
MDC de [65, 87] - Previsto: (3, 2.7239296) - Real: 1
MDC de [65, 88] - Previsto: (2, 1.8406942) - Real: 1
MDC de [66, 11] - Previsto: (10, 10.214288) - Real: 11
MDC de [66, 18] - Previsto: (7, 6.5418024) - Real: 6
MDC de [66, 45] - Previsto: (4, 3.504842) - Real: 3
MDC de [66, 50] - Previsto: (1, 1.1736313) - Real: 2
MDC de [66, 54] - Previsto: (5, 5.1880617) - Real: 6
MDC de [66, 55] - Previsto: (10, 10.321843) - Real: 11
MDC de [66, 88] - Previsto: (20, 20.005001) - Real: 22
MDC de [66, 91] - Previsto: (5, 5.197015) - Real: 1
MDC de [67, 79] - Previsto: (34, 34.15238) - Real: 1
MDC de [67, 94] - Previsto: (47, 46.82318) - Real: 1
MDC de [68, 3] - Previsto: (2, 1.5255322) - Real: 1
MDC de [68, 17] - Previsto: (16, 16.352486) - Real: 17
MDC de [68, 34] - Previsto: (37, 36.65767) - Real: 34
MDC de [68, 44] - Previsto: (2, 2.4953194) - Real: 4
MDC de [68, 52] - Previsto: (3, 2.5273206) - Real: 4
MDC de [68, 72] - Previsto: (2, 1.9340911) - Real: 4
MDC de [68, 76] - Previsto: (3, 3.317804) - Real: 4
MDC de [68, 84] - Previsto: (3, 2.7458081) - Real: 4
MDC de [69, 90] - Previsto: (1, 1.0358657) - Real: 3
MDC de [69, 91] - Previsto: (2, 1.7241058) - Real: 1
MDC de [69, 93] - Previsto: (20, 20.462866) - Real: 3
MDC de [70, 7] - Previsto: (9, 8.690297) - Real: 7
MDC de [70, 9] - Previsto: (2, 1.856286) - Real: 1
MDC de [70, 21] - Previsto: (5, 5.499528) - Real: 7
MDC de [70, 26] - Previsto: (4, 3.9490466) - Real: 2
MDC de [70, 28] - Previsto: (11, 11.034236) - Real: 14
MDC de [70, 40] - Previsto: (6, 6.051585) - Real: 10
MDC de [70, 50] - Previsto: (6, 6.09324) - Real: 10
MDC de [70, 54] - Previsto: (4, 4.2063837) - Real: 2
MDC de [70, 55] - Previsto: (11, 10.65007) - Real: 5
MDC de [70, 65] - Previsto: (2, 2.3773656) - Real: 5
MDC de [70, 66] - Previsto: (3, 3.4646752) - Real: 2
MDC de [70, 80] - Previsto: (5, 4.758703) - Real: 10
MDC de [70, 90] - Previsto: (5, 5.319639) - Real: 10
MDC de [70, 96] - Previsto: (3, 2.5980904) - Real: 2
MDC de [70, 99] - Previsto: (4, 4.0138025) - Real: 1
MDC de [72, 40] - Previsto: (6, 5.670932) - Real: 8
MDC de [72, 50] - Previsto: (4, 3.6999304) - Real: 2
MDC de [72, 63] - Previsto: (3, 2.8176866) - Real: 9
MDC de [72, 69] - Previsto: (4, 3.578963) - Real: 3
MDC de [72, 72] - Previsto: (36, 36.050323) - Real: 72
MDC de [72, 92] - Previsto: (3, 3.219681) - Real: 4
MDC de [74, 82] - Previsto: (1, 0.90258867) - Real: 2
MDC de [75, 20] - Previsto: (6, 5.794919) - Real: 5
MDC de [75, 50] - Previsto: (6, 5.907836) - Real: 25
MDC de [75, 75] - Previsto: (25, 24.952477) - Real: 75
MDC de [75, 90] - Previsto: (6, 5.6864014) - Real: 15
MDC de [75, 100] - Previsto: (10, 10.388177) - Real: 25
MDC de [76, 6] - Previsto: (3, 2.6774952) - Real: 2
MDC de [76, 19] - Previsto: (1, 0.99708503) - Real: 19
MDC de [76, 54] - Previsto: (1, 1.4702463) - Real: 2
MDC de [76, 57] - Previsto: (1, 0.99981904) - Real: 19
MDC de [76, 76] - Previsto: (4, 3.617633) - Real: 76
MDC de [76, 95] - Previsto: (1, 1.0754247) - Real: 19
MDC de [77, 49] - Previsto: (4, 4.214095) - Real: 7
MDC de [77, 91] - Previsto: (5, 4.8240433) - Real: 7
MDC de [78, 21] - Previsto: (5, 4.649646) - Real: 3
MDC de [78, 22] - Previsto: (1, 1.3976861) - Real: 2
MDC de [78, 42] - Previsto: (5, 5.2484503) - Real: 6
MDC de [78, 44] - Previsto: (1, 1.3378158) - Real: 2
MDC de [78, 52] - Previsto: (13, 13.262418) - Real: 26
MDC de [78, 66] - Previsto: (4, 4.10406) - Real: 6
MDC de [78, 77] - Previsto: (2, 1.5749314) - Real: 1
MDC de [78, 87] - Previsto: (1, 1.2777154) - Real: 3
MDC de [78, 91] - Previsto: (9, 9.128179) - Real: 13
MDC de [80, 20] - Previsto: (39, 39.021713) - Real: 20
MDC de [80, 30] - Previsto: (9, 9.247613) - Real: 10
MDC de [80, 48] - Previsto: (14, 14.085561) - Real: 16
MDC de [80, 78] - Previsto: (4, 4.15315) - Real: 2
MDC de [80, 88] - Previsto: (6, 6.2343397) - Real: 8
MDC de [80, 95] - Previsto: (3, 3.1288013) - Real: 5
MDC de [81, 54] - Previsto: (16, 15.951726) - Real: 27
MDC de [81, 84] - Previsto: (4, 3.6333942) - Real: 3
MDC de [82, 82] - Previsto: (41, 41.48984) - Real: 82
MDC de [83, 83] - Previsto: (1, 1.0042588) - Real: 83
MDC de [84, 3] - Previsto: (4, 3.567364) - Real: 3
MDC de [84, 21] - Previsto: (14, 13.554694) - Real: 21
MDC de [84, 28] - Previsto: (14, 14.301785) - Real: 28
MDC de [84, 40] - Previsto: (5, 5.113888) - Real: 4
MDC de [84, 52] - Previsto: (3, 2.8272047) - Real: 4
MDC de [84, 63] - Previsto: (20, 19.75749) - Real: 21
MDC de [85, 5] - Previsto: (2, 2.415742) - Real: 5
MDC de [85, 10] - Previsto: (3, 3.155115) - Real: 5
MDC de [85, 17] - Previsto: (1, 1.0063714) - Real: 17
MDC de [85, 28] - Previsto: (2, 2.2540119) - Real: 1
MDC de [85, 30] - Previsto: (4, 4.2336416) - Real: 5
MDC de [85, 36] - Previsto: (2, 2.3920557) - Real: 1
MDC de [85, 51] - Previsto: (1, 1.0030847) - Real: 17
MDC de [85, 58] - Previsto: (2, 1.7878726) - Real: 1
MDC de [85, 65] - Previsto: (1, 1.0598516) - Real: 5
MDC de [85, 72] - Previsto: (9, 9.268893) - Real: 1
MDC de [85, 100] - Previsto: (8, 7.5384016) - Real: 5
MDC de [86, 12] - Previsto: (1, 1.0298338) - Real: 2
MDC de [86, 91] - Previsto: (9, 9.281701) - Real: 1
MDC de [87, 13] - Previsto: (4, 4.034337) - Real: 1
MDC de [87, 29] - Previsto: (1, 1.1086887) - Real: 29
MDC de [87, 35] - Previsto: (3, 2.880154) - Real: 1
MDC de [87, 44] - Previsto: (2, 1.7882589) - Real: 1
MDC de [87, 46] - Previsto: (5, 4.8429565) - Real: 1
MDC de [87, 57] - Previsto: (4, 3.651193) - Real: 3
MDC de [87, 72] - Previsto: (2, 2.4802475) - Real: 3
MDC de [87, 91] - Previsto: (88, 87.87722) - Real: 1
MDC de [87, 92] - Previsto: (4, 3.5797176) - Real: 1
MDC de [88, 2] - Previsto: (1, 1.2754626) - Real: 2
MDC de [88, 12] - Previsto: (3, 3.2588065) - Real: 4
MDC de [88, 18] - Previsto: (3, 2.9793122) - Real: 2
MDC de [88, 22] - Previsto: (10, 9.83006) - Real: 22
MDC de [88, 35] - Previsto: (2, 2.35169) - Real: 1
MDC de [88, 44] - Previsto: (41, 40.923992) - Real: 44
MDC de [88, 56] - Previsto: (3, 2.815686) - Real: 8
MDC de [88, 63] - Previsto: (2, 2.2139618) - Real: 1
MDC de [88, 72] - Previsto: (5, 5.0890617) - Real: 8
MDC de [88, 99] - Previsto: (94, 93.55492) - Real: 11
MDC de [89, 89] - Previsto: (1, 1.0048109) - Real: 89
MDC de [90, 6] - Previsto: (8, 7.7290325) - Real: 6
MDC de [90, 15] - Previsto: (6, 6.027012) - Real: 15
MDC de [90, 21] - Previsto: (2, 2.437895) - Real: 3
MDC de [90, 27] - Previsto: (8, 8.147837) - Real: 9
MDC de [90, 44] - Previsto: (3, 2.6693199) - Real: 2
MDC de [90, 66] - Previsto: (3, 3.0617816) - Real: 6
MDC de [90, 84] - Previsto: (3, 3.2644937) - Real: 6
MDC de [90, 95] - Previsto: (2, 2.2263186) - Real: 5
MDC de [91, 70] - Previsto: (2, 2.297655) - Real: 7
MDC de [91, 84] - Previsto: (6, 6.4573326) - Real: 7
MDC de [91, 87] - Previsto: (90, 90.43302) - Real: 1
MDC de [92, 2] - Previsto: (3, 2.5341759) - Real: 2
MDC de [92, 34] - Previsto: (3, 2.8759627) - Real: 2
MDC de [92, 60] - Previsto: (3, 2.9616613) - Real: 4
MDC de [92, 65] - Previsto: (2, 1.6897042) - Real: 1
MDC de [92, 70] - Previsto: (3, 2.6883485) - Real: 2
MDC de [92, 73] - Previsto: (52, 52.090744) - Real: 1
MDC de [92, 95] - Previsto: (10, 10.173088) - Real: 1
MDC de [93, 2] - Previsto: (2, 2.2432947) - Real: 1
MDC de [93, 23] - Previsto: (20, 19.75827) - Real: 1
MDC de [93, 46] - Previsto: (2, 1.9172585) - Real: 1
MDC de [93, 70] - Previsto: (3, 2.8127928) - Real: 1
MDC de [94, 57] - Previsto: (0, 0.4671787) - Real: 1
MDC de [95, 2] - Previsto: (6, 5.733886) - Real: 1
MDC de [95, 5] - Previsto: (4, 4.327635) - Real: 5
MDC de [95, 16] - Previsto: (4, 4.456524) - Real: 1
MDC de [95, 30] - Previsto: (4, 4.288048) - Real: 5
MDC de [95, 32] - Previsto: (4, 4.4872475) - Real: 1
MDC de [95, 35] - Previsto: (1, 0.98516405) - Real: 5
MDC de [95, 40] - Previsto: (2, 1.5381162) - Real: 5
MDC de [95, 70] - Previsto: (1, 1.068226) - Real: 5
MDC de [95, 74] - Previsto: (9, 8.988836) - Real: 1
MDC de [96, 6] - Previsto: (5, 5.2620354) - Real: 6
MDC de [96, 16] - Previsto: (32, 32.14911) - Real: 16
MDC de [96, 64] - Previsto: (28, 28.340784) - Real: 32
MDC de [96, 72] - Previsto: (12, 11.782823) - Real: 24
MDC de [96, 90] - Previsto: (7, 7.3412695) - Real: 6
MDC de [96, 96] - Previsto: (46, 45.79114) - Real: 96
MDC de [98, 49] - Previsto: (8, 8.324292) - Real: 49
MDC de [98, 84] - Previsto: (20, 19.708185) - Real: 14
MDC de [98, 87] - Previsto: (3, 2.732873) - Real: 1
MDC de [99, 15] - Previsto: (2, 2.2785842) - Real: 3
MDC de [99, 33] - Previsto: (25, 25.14586) - Real: 33
MDC de [99, 35] - Previsto: (4, 3.9299045) - Real: 1
MDC de [99, 45] - Previsto: (5, 4.668929) - Real: 9
MDC de [99, 84] - Previsto: (8, 7.863077) - Real: 3
MDC de [99, 90] - Previsto: (6, 6.4471464) - Real: 9
MDC de [100, 5] - Previsto: (4, 4.479315) - Real: 5
MDC de [100, 18] - Previsto: (1, 1.3504281) - Real: 2
MDC de [100, 24] - Previsto: (5, 4.991102) - Real: 4
MDC de [100, 25] - Previsto: (7, 6.910758) - Real: 25
MDC de [100, 30] - Previsto: (12, 11.660548) - Real: 10
MDC de [100, 35] - Previsto: (4, 4.0541697) - Real: 5
MDC de [100, 45] - Previsto: (6, 5.505641) - Real: 5
MDC de [100, 50] - Previsto: (9, 8.972057) - Real: 50
MDC de [100, 60] - Previsto: (19, 18.858755) - Real: 20
MDC de [100, 70] - Previsto: (5, 4.9779024) - Real: 10
MDC de [100, 78] - Previsto: (3, 2.5107634) - Real: 2
MDC de [100, 80] - Previsto: (37, 37.22199) - Real: 20
